country,alpha2,subdivision,district,label,region,sub_country
Azerbaijan,AZ,NEF,Neftala,Azerbaijan - Neftala,,
Azerbaijan,AZ,NV,Naxivan,Azerbaijan - Naxivan,,
Azerbaijan,AZ,OGU,Oguz,Azerbaijan - Oguz,,
Azerbaijan,AZ,ORD,Ordubad,Azerbaijan - Ordubad,,
Azerbaijan,AZ,QAB,Q?b?l?,Azerbaijan - Q?b?l?,,
Azerbaijan,AZ,QAX,Qax,Azerbaijan - Qax,,
Azerbaijan,AZ,QAZ,Qazax,Azerbaijan - Qazax,,
Azerbaijan,AZ,QBA,Quba,Azerbaijan - Quba,,
Azerbaijan,AZ,QBI,Qubadli,Azerbaijan - Qubadli,,
Azerbaijan,AZ,QOB,Qobustan,Azerbaijan - Qobustan,,
Azerbaijan,AZ,QUS,Qusar,Azerbaijan - Qusar,,
Azerbaijan,AZ,SAB,Sabirabad,Azerbaijan - Sabirabad,,
Azerbaijan,AZ,SAD,S?d?r?k,Azerbaijan - S?d?r?k,,
Azerbaijan,AZ,SAH,Sahbuz,Azerbaijan - Sahbuz,,
Azerbaijan,AZ,SAK,S?ki,Azerbaijan - S?ki,,
Azerbaijan,AZ,SAL,Salyan,Azerbaijan - Salyan,,
Azerbaijan,AZ,SAR,S?rur,Azerbaijan - S?rur,,
Azerbaijan,AZ,SAT,Saatli,Azerbaijan - Saatli,,
Azerbaijan,AZ,SBN,Sabran,Azerbaijan - Sabran,,
Azerbaijan,AZ,SIY,Siy?z?n,Azerbaijan - Siy?z?n,,
Azerbaijan,AZ,SKR,S?mkir,Azerbaijan - S?mkir,,
Azerbaijan,AZ,SM,Sumqayit,Azerbaijan - Sumqayit,,
Azerbaijan,AZ,SMI,Samaxi,Azerbaijan - Samaxi,,
Azerbaijan,AZ,SMX,Samux,Azerbaijan - Samux,,
Azerbaijan,AZ,SR,Sirvan,Azerbaijan - Sirvan,,
Azerbaijan,AZ,SUS,Susa,Azerbaijan - Susa,,
Azerbaijan,AZ,TAR,T?rt?r,Azerbaijan - T?rt?r,,
Azerbaijan,AZ,TOV,Tovuz,Azerbaijan - Tovuz,,
Azerbaijan,AZ,UCA,Ucar,Azerbaijan - Ucar,,
Azerbaijan,AZ,XA,Xank?ndi,Azerbaijan - Xank?ndi,,
Azerbaijan,AZ,XAC,Xamaz,Azerbaijan - Xamaz,,
Azerbaijan,AZ,XCI,Xocali,Azerbaijan - Xocali,,
Azerbaijan,AZ,XIZ,Xizi,Azerbaijan - Xizi,,
Azerbaijan,AZ,XVD,Xocav?nd,Azerbaijan - Xocav?nd,,
Azerbaijan,AZ,YAR,Yardimli,Azerbaijan - Yardimli,,
Azerbaijan,AZ,YEV,Yevlax,Azerbaijan - Yevlax,,
Azerbaijan,AZ,ZAN,Z?ngilan,Azerbaijan - Z?ngilan,,
Azerbaijan,AZ,ZAQ,Zaqatala,Azerbaijan - Zaqatala,,
Azerbaijan,AZ,ZAR,Z?rdab,Azerbaijan - Z?rdab,,
Bosnia-Herzegovina,BA,1,Unsko-Sanski Kanton,Bosnia-Herzegovina - Unsko-Sanski Kanton,,
Bosnia-Herzegovina,BA,2,Posavski Kanton,Bosnia-Herzegovina - Posavski Kanton,,
Bosnia-Herzegovina,BA,3,Tuzlanski Kanton,Bosnia-Herzegovina - Tuzlanski Kanton,,
Bosnia-Herzegovina,BA,4,Zenicko-Dobojski Kanton,Bosnia-Herzegovina - Zenicko-Dobojski Kanton,,
Bosnia-Herzegovina,BA,5,Bosansko-Podrinjski Kanton,Bosnia-Herzegovina - Bosansko-Podrinjski Kanton,,
Bosnia-Herzegovina,BA,6,Srednjobosanski Kanton,Bosnia-Herzegovina - Srednjobosanski Kanton,,
Bosnia-Herzegovina,BA,7,Hercegovacko-Neretvanski Kanton,Bosnia-Herzegovina - Hercegovacko-Neretvanski Kanton,,
Bosnia-Herzegovina,BA,8,Zapadnohercegovacki kanton,Bosnia-Herzegovina - Zapadnohercegovacki kanton,,
Bosnia-Herzegovina,BA,9,Kanton Sarajevo,Bosnia-Herzegovina - Kanton Sarajevo,,
Bosnia-Herzegovina,BA,10,Kanton br. 10 (Livanjski kanton) ,Bosnia-Herzegovina - Kanton br. 10 (Livanjski kanton),,
Bosnia-Herzegovina,BA,BIH,Federacija Bosne i Hercegovine,Bosnia-Herzegovina - Federacija Bosne i Hercegovine,,
Bosnia-Herzegovina,BA,BRC,Brcko distrikt,Bosnia-Herzegovina - Brcko distrikt,,
Bosnia-Herzegovina,BA,SRP,Republika Srpska,Bosnia-Herzegovina - Republika Srpska,,
Barbados,BB,1,Christ Church,Barbados - Christ Church,,
Barbados,BB,2,Saint Andrew,Barbados - Saint Andrew,,
Barbados,BB,3,Saint George,Barbados - Saint George,,
Barbados,BB,4,Saint James,Barbados - Saint James,,
Barbados,BB,5,Saint John,Barbados - Saint John,,
Barbados,BB,6,Saint Joseph,Barbados - Saint Joseph,,
Barbados,BB,7,Saint Lucy,Barbados - Saint Lucy,,
Barbados,BB,8,Saint Michael,Barbados - Saint Michael,,
Barbados,BB,9,Saint Peter,Barbados - Saint Peter,,
Barbados,BB,10,Saint Philip,Barbados - Saint Philip,,
Barbados,BB,11,Saint Thomas,Barbados - Saint Thomas,,
Bangladesh,BD,1,Bandarban,Bangladesh - Bandarban,,
Bangladesh,BD,2,Barguna,Bangladesh - Barguna,,
Bangladesh,BD,3,Bogra,Bangladesh - Bogra,,
Bangladesh,BD,4,Brahmanbaria,Bangladesh - Brahmanbaria,,
Bangladesh,BD,5,Bagerhat,Bangladesh - Bagerhat,,
Bangladesh,BD,6,Barisal,Bangladesh - Barisal,,
Bangladesh,BD,7,Bhola,Bangladesh - Bhola,,
Bangladesh,BD,8,Comilla,Bangladesh - Comilla,,
Bangladesh,BD,9,Chandpur,Bangladesh - Chandpur,,
Bangladesh,BD,10,Chittagong,Bangladesh - Chittagong,,
Bangladesh,BD,11,Cox's Bazar,Bangladesh - Cox's Bazar,,
Bangladesh,BD,12,Chuadanga,Bangladesh - Chuadanga,,
Bangladesh,BD,13,Dhaka,Bangladesh - Dhaka,,
Bangladesh,BD,14,Dinajpur,Bangladesh - Dinajpur,,
Bangladesh,BD,15,Faridpur,Bangladesh - Faridpur,,
Bangladesh,BD,16,Feni,Bangladesh - Feni,,
Bangladesh,BD,17,Gopalganj,Bangladesh - Gopalganj,,
Bangladesh,BD,18,Gazipur,Bangladesh - Gazipur,,
Bangladesh,BD,19,Gaibandha,Bangladesh - Gaibandha,,
Bangladesh,BD,20,Habiganj,Bangladesh - Habiganj,,
Bangladesh,BD,21,Jamalpur,Bangladesh - Jamalpur,,
Bangladesh,BD,22,Jessore,Bangladesh - Jessore,,
Bangladesh,BD,23,Jhenaidah,Bangladesh - Jhenaidah,,
Bangladesh,BD,24,Jaipurhat,Bangladesh - Jaipurhat,,
Bangladesh,BD,25,Jhalakati,Bangladesh - Jhalakati,,
Bangladesh,BD,26,Kishoreganj,Bangladesh - Kishoreganj,,
Bangladesh,BD,27,Khulna,Bangladesh - Khulna,,
Bangladesh,BD,28,Kurigram,Bangladesh - Kurigram,,
Bangladesh,BD,29,Khagrachari,Bangladesh - Khagrachari,,
Bangladesh,BD,30,Kushtia,Bangladesh - Kushtia,,
Bangladesh,BD,31,Lakshmipur,Bangladesh - Lakshmipur,,
Bangladesh,BD,32,Lalmonirhat,Bangladesh - Lalmonirhat,,
Bangladesh,BD,33,Manikganj,Bangladesh - Manikganj,,
Bangladesh,BD,34,Mymensingh,Bangladesh - Mymensingh,,
Bangladesh,BD,35,Munshiganj,Bangladesh - Munshiganj,,
Bangladesh,BD,36,Madaripur,Bangladesh - Madaripur,,
Bangladesh,BD,37,Magura,Bangladesh - Magura,,
Bangladesh,BD,38,Moulvibazar,Bangladesh - Moulvibazar,,
Bangladesh,BD,39,Meherpur,Bangladesh - Meherpur,,
Bangladesh,BD,40,Narayanganj,Bangladesh - Narayanganj,,
Bangladesh,BD,41,Netrakona,Bangladesh - Netrakona,,
Bangladesh,BD,42,Narsingdi,Bangladesh - Narsingdi,,
Bangladesh,BD,43,Narail,Bangladesh - Narail,,
Bangladesh,BD,44,Natore,Bangladesh - Natore,,
Bangladesh,BD,45,Nawabganj,Bangladesh - Nawabganj,,
Bangladesh,BD,46,Nilphamari,Bangladesh - Nilphamari,,
Bangladesh,BD,47,Noakhali,Bangladesh - Noakhali,,
Bangladesh,BD,48,Naogaon,Bangladesh - Naogaon,,
Bangladesh,BD,49,Pabna,Bangladesh - Pabna,,
Bangladesh,BD,50,Pirojpur,Bangladesh - Pirojpur,,
Bangladesh,BD,51,Patuakhali,Bangladesh - Patuakhali,,
Bangladesh,BD,52,Panchagarh,Bangladesh - Panchagarh,,
Bangladesh,BD,53,Rajbari,Bangladesh - Rajbari,,
Bangladesh,BD,54,Rajshahi,Bangladesh - Rajshahi,,
Bangladesh,BD,55,Rangpur,Bangladesh - Rangpur,,
Bangladesh,BD,56,Rangamati,Bangladesh - Rangamati,,
Bangladesh,BD,57,Sherpur,Bangladesh - Sherpur,,
Bangladesh,BD,58,Satkhira,Bangladesh - Satkhira,,
Bangladesh,BD,59,Sirajganj,Bangladesh - Sirajganj,,
Bangladesh,BD,60,Sylhet,Bangladesh - Sylhet,,
Bangladesh,BD,61,Sunamganj,Bangladesh - Sunamganj,,
Bangladesh,BD,62,Shariatpur,Bangladesh - Shariatpur,,
Bangladesh,BD,63,Tangail,Bangladesh - Tangail,,
Bangladesh,BD,64,Thakurgaon,Bangladesh - Thakurgaon,,
Belgium,BE,BRU,"Bruxelles-Capitale, R_gion de","Belgium - Bruxelles-Capitale, R_gion de",,
Belgium,BE,VAN,Antwerpen,Belgium - Antwerpen,,
Belgium,BE,VBR,Vlaams Brabant,Belgium - Vlaams Brabant,,
Belgium,BE,VLG,Vlaamse Gewest,Belgium - Vlaamse Gewest,,
Belgium,BE,VLI,Limburg,Belgium - Limburg,,
